candidate_id,honeypot_points,honeypot_reason,current_title,current_company,location,years_of_experience,applied_ai_years,total_months,total_jobs,total_companies,n_expert,expert_zero_dur,short_switch_ratio,consulting_ratio,research_ratio,production_evidence,open_to_work,willing_to_relocate,headline,summary,skills_text
CAND_0003430,3,exp/tenure mismatch (14y stated vs 1y career),business analyst,infosys,"pune, maharashtra",13.7,0.0,11,1,1,0,0,1.0,1.0,0.0,False,False,False,business analyst | 1.3+ yrs experience,"professional with 1.3+ years of experience. i've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. lately i've been curious about how ai tools could augment my work — i've experimented with chatgpt and a few other tools for productivity and content creation, and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.",go tts kubernetes content writing snowflake javascript
CAND_0003582,3,3 expert skills with ~0 months usage,mobile developer,mphasis,"kolkata, west bengal",8.2,0.0,98,3,3,3,3,0.0,0.19387755102040816,0.0,True,False,True,mobile developer | cloud & devops,"software engineer with 8.2 years of experience across web, backend, and cloud systems. strong fundamentals in software development and system design. my background is full-stack, but my comfort zone is the backend and the database. i've been keeping up with ai/ml at a self-learner level — taken some online courses, played with the openai and anthropic apis, built a small rag side project — but i haven't done it in a professional capacity yet. open to roles where i can either deepen my software engineering work or, if the team is open to it, start contributing to ml-adjacent systems.",docker image classification mlflow photoshop tts spring boot javascript content writing
CAND_0005291,3,exp/tenure mismatch (13y stated vs 1y career),business analyst,hooli,"indore, madhya pradesh",12.8,0.0,11,1,1,0,0,1.0,0.0,0.0,False,False,False,business analyst | driving business outcomes,"professional with 4.7+ years of experience. i'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. lately i've been curious about how ai tools could augment my work — i've experimented with chatgpt and a few other tools for productivity and content creation, and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.",etl kafka rust react next.js sales content writing
CAND_0007353,3,exp/tenure mismatch (10y stated vs 21y career),frontend engineer,wayne enterprises,"noida, uttar pradesh",9.9,0.0,251,4,4,0,0,0.25,0.0,0.0,True,False,False,frontend engineer | full-stack development,"software engineer with 9.9 years of experience across web, backend, and cloud systems. strong fundamentals in software development and system design. i've worked across web frontends, rest apis, and cloud deployments; comfortable in most parts of a typical saas stack. i've been keeping up with ai/ml at a self-learner level — taken some online courses, played with the openai and anthropic apis, built a small rag side project — but i haven't done it in a professional capacity yet. open to roles where i can either deepen my software engineering work or, if the team is open to it, start contributing to ml-adjacent systems.",tailwind apache flink content writing hadoop rag reinforcement learning microservices
CAND_0007413,3,exp/tenure mismatch (13y stated vs 1y career),business analyst,globex inc,"coimbatore, tamil nadu",13.3,1.3333333333333333,16,1,1,0,0,1.0,0.0,0.0,False,False,False,business analyst | 10.8+ yrs experience,"professional with 10.8+ years of experience. my professional background is in marketing manager — i've built and led teams, owned kpis, and driven business outcomes in this domain. lately i've been curious about how ai tools could augment my work — i've experimented with chatgpt and a few other tools for productivity and content creation, and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.",weights & biases etl java rust terraform dbt
CAND_0008960,3,exp/tenure mismatch (10y stated vs 23y career),graphic designer,stark industries,"mumbai, maharashtra",10.3,2.25,271,4,4,0,0,0.0,0.1992619926199262,0.0,False,False,False,graphic designer | helping teams scale,"professional with 10.3+ years of experience. my professional background is in marketing manager — i've built and led teams, owned kpis, and driven business outcomes in this domain. lately i've been curious about how ai tools could augment my work — i've experimented with chatgpt and a few other tools for productivity and content creation, and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.",project management html data pipelines css image classification marketing sql databricks
CAND_0010294,3,exp/tenure mismatch (8y stated vs 18y career),.net developer,mphasis,"bangalore, karnataka",8.0,0.0,220,3,3,0,0,0.0,0.85,0.0,True,False,False,.net developer | backend systems & apis,"software engineer with 8.0 years of experience across web, backend, and cloud systems. strong fundamentals in software development and system design. my background is full-stack, but my comfort zone is the backend and the database. i've been keeping up with ai/ml at a self-learner level — taken some online courses, played with the openai and anthropic apis, built a small rag side project — but i haven't done it in a professional capacity yet. open to roles where i can either deepen my software engineering work or, if the team is open to it, start contributing to ml-adjacent systems.",agile computer vision redis mongodb statistical modeling microservices photoshop weaviate figma go docker sap mlflow excel
CAND_0010770,3,exp/tenure mismatch (15y stated vs 7y career),recommendation systems engineer,aganitha,"kolkata, west bengal",15.2,7.166666666666667,86,4,4,5,0,0.5,0.0,0.0,True,True,True,"recommendation systems engineer | ml, nlp, recommendation systems","machine learning engineer with 7.2 years of experience building ml-powered features in production. strong background in nlp, recommendation systems, and applied ai; comfortable across the ml stack from feature engineering through deployment. recently, i've been the de-facto ml lead on a small team, shipping models across nlp and recsys. i've spent enough time debugging production ranking issues to know which signals matter and which are noise. my academic background is in cs/ml but my main learning has come from shipping real systems and seeing what holds up under production load. open to senior ic roles in applied ml or ai engineering, ideally at product companies where i'd own a meaningful piece of the ml stack.",haystack yolo qdrant llamaindex diffusion models deep learning learning to rank tensorflow java rest apis computer vision llms vue.js tts statistical modeling bm25 mlops pgvector
CAND_0013536,3,exp/tenure mismatch (14y stated vs 5y career),applied ml engineer,haptik,"trivandrum, kerala",14.1,4.666666666666667,56,2,2,9,0,0.0,0.0,0.0,True,True,False,"applied ml engineer | ml, nlp, recommendation systems","machine learning engineer with 4.8 years of experience building ml-powered features in production. strong background in nlp, recommendation systems, and applied ai; comfortable across the ml stack from feature engineering through deployment. recently, i led the team that migrated our keyword-search-based product to embedding-based retrieval. i've learned that most retrieval problems are actually evaluation problems in disguise. my academic background is in cs/ml but my main learning has come from shipping real systems and seeing what holds up under production load. open to senior ic roles in applied ml or ai engineering, ideally at product companies where i'd own a meaningful piece of the ml stack.",pytorch prompt engineering llms nlp embeddings qlora pinecone elasticsearch milvus image classification mlops vector search faiss content writing hadoop computer vision llamaindex weights & biases
CAND_0016000,3,5 expert skills with ~0 months usage,full stack developer,initech,sydney,2.0,0.0,24,1,1,5,5,0.0,0.0,0.0,True,True,False,full stack developer | backend systems & apis,"software engineer with 2.0 years of experience across web, backend, and cloud systems. strong fundamentals in software development and system design. i've worked across web frontends, rest apis, and cloud deployments; comfortable in most parts of a typical saas stack. i've been keeping up with ai/ml at a self-learner level — taken some online courses, played with the openai and anthropic apis, built a small rag side project — but i haven't done it in a professional capacity yet. open to roles where i can either deepen my software engineering work or, if the team is open to it, start contributing to ml-adjacent systems.",flask spring boot typescript go rest apis docker terraform hadoop aws photoshop
